Text,Language
" Nature is an inherent character or constitution,[1] particularly of the ecosphere or the universe as a whole.",English
"In this general sense nature refers to the laws, elements and phenomena of the physical world, including life.",English
"Although humans are part of nature, human activity or humans as a whole are often described as at times at odds, or outright separate and even superior to nature.",English
"[2] During the advent of modern scientific method in the last several centuries, nature became the passive reality, organized and moved by divine laws.",English
"[3][4] With the Industrial Revolution, nature increasingly became seen as the part of reality deprived from intentional intervention: it was hence considered as sacred by some traditions (Rousseau, American transcendentalism) or a mere decorum for divine providence or human history (Hegel, Marx).",English
"However, a vitalist vision of nature, closer to the pre-Socratic one, got reborn at the same time, especially after Charles Darwin.",English
"[2] Within the various uses of the word today, ""nature"" often refers to geology and wildlife.",English
"Nature can refer to the general realm of living beings, and in some cases to the processes associated with inanimate objects—the way that particular types of things exist and change of their own accord, such as the weather and geology of the Earth.",English
"It is often taken to mean the ""natural environment"" or wilderness—wild animals, rocks, forest, and in general those things that have not been substantially altered by human intervention, or which persist despite human intervention.",English
"For example, manufactured objects and human interaction generally are not considered part of nature, unless qualified as, for example, ""human nature"" or ""the whole of nature"".",English
"This more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial, with the artificial being understood as that which has been brought into being by a human consciousness or a human mind.",English
"Depending on the particular context, the term ""natural"" might also be distinguished from the unnatural or the supernatural.",English
"[2] The word nature is borrowed from the Old French nature and is derived from the Latin word natura, or ""essential qualities, innate disposition"", and in ancient times, literally meant ""birth"".",English
"[5] In ancient philosophy, natura is mostly used as the Latin translation of the Greek word physis (φύσις), which originally related to the intrinsic characteristics of plants, animals, and other features of the world to develop of their own accord.",English
"[6][7]
The concept of nature as a whole, the physical universe, is one of several expansions of the original notion;[2] it began with certain core applications of the word φύσις by pre-Socratic philosophers (though this word had a dynamic dimension then, especially for Heraclitus), and has steadily gained currency ever since.",English
"Earth is the only planet known to support life, and its natural features are the subject of many fields of scientific research.",English
"Within the Solar System, it is third closest to the Sun; it is the largest terrestrial planet and the fifth largest overall.",English
"Its most prominent climatic features are its two large polar regions, two relatively narrow temperate zones, and a wide equatorial tropical to subtropical region.",English
"[8] Precipitation varies widely with location, from several metres of water per year to less than a millimetre.",English
71 percent of the Earth's surface is covered by salt-water oceans.,English
"The remainder consists of continents and islands, with most of the inhabited land in the Northern Hemisphere.",English
Earth has evolved through geological and biological processes that have left traces of the original conditions.,English
The outer surface is divided into several gradually migrating tectonic plates.,English
"The interior remains active, with a thick layer of plastic mantle and an iron-filled core that generates a magnetic field.",English
"This iron core is composed of a solid inner phase, and a fluid outer phase.",English
"Convective motion in the core generates electric currents through dynamo action, and these, in turn, generate the geomagnetic field.",English
